,time,open,high,low,close,min,max,mid
0,3/24/2024,85.52,85.84,85.52,85.8,,,
1,3/25/2024,85.78,87.25,85.67,86.83,,,
2,3/26/2024,86.89,87.14,85.92,85.97,,,
3,3/27/2024,86,86.39,85.27,86.36,,,
4,3/28/2024,86.39,87.72,86.18,87.64,,,
5,3/31/2024,87.62,87.7,87.45,87.56,,,
6,4/1/2024,87.56,88.59,87.01,88.39,,,
7,4/2/2024,88.22,89.89,88.22,89.83,,,
8,4/3/2024,89.82,90.56,89.25,90.11,,,
9,4/4/2024,90.07,91.85,89.28,91.66,,,
10,4/5/2024,91.72,92.46,91.12,91.47,,,
11,4/7/2024,90.89,90.89,90.5,90.56,,,
12,4/8/2024,90.57,91.58,89.27,91.08,,,
13,4/9/2024,91.12,91.4,89.73,90.02,,,
14,4/10/2024,89.93,91.14,89.29,91.08,,,
15,4/11/2024,90.99,91.34,89.8,90.59,,,
16,4/12/2024,90.53,92.58,90.44,90.6,,,
17,4/14/2024,91.19,91.19,90.43,90.84,,,
18,4/15/2024,90.84,90.99,89.08,90.72,,,
19,4/16/2024,90.78,91.15,89.73,90.36,,,
20,4/17/2024,90.38,90.45,87.42,87.69,,,
21,4/18/2024,87.68,88.06,86.35,87.16,,,
22,4/19/2024,87.31,90.99,86.44,87.44,,,
23,4/21/2024,87.2,87.34,87.14,87.14,,,
24,4/22/2024,87.14,87.43,85.97,87.34,,,
25,4/23/2024,87.33,88.56,86.22,88.48,,,
26,4/24/2024,88.51,88.78,87.91,88.06,87.91,88.78,88.345
27,4/25/2024,87.95,89.09,87.28,89.06,85.27,94.25,89.76
28,4/26/2024,89.03,89.67,88.66,89.16,85.25,94.23,89.74
29,4/27/2024,,,,,85.56,94.56,90.06
30,4/28/2024,88.94,88.94,88.5,88.5,84.99,93.93,89.46
31,4/29/2024,88.51,88.61,86.89,87.19,82.61,91.31,86.96
32,4/30/2024,87.1,87.7,85.37,85.84,82.26,90.92,86.59
33,5/1/2024,85.73,85.77,83.19,83.41,82.39,91.07,86.73
34,5/2/2024,83.44,84.14,83.4,84.06,82.39,91.07,86.73
35,5/3/2024,83.94,84.39,82.81,82.83,75.41,83.35,79.38
36,5/6/2024,83.24,83.83,82.78,83.14,74.83,82.71,78.77
37,5/7/2024,,,,,74.16,81.96,78.06
38,5/8/2024,,,,,74.26,82.08,78.17
39,5/9/2024,,,,,75.25,83.17,79.21
40,5/10/2024,,,,,74.91,82.79,78.85
41,5/13/2024,,,,,76.01,84.01,80.01
42,5/14/2024,,,,,75.99,83.99,79.99
43,5/15/2024,,,,,76.27,84.29,80.28
44,5/16/2024,,,,,75.76,83.74,79.75
45,5/17/2024,,,,,73.65,81.41,77.53
46,5/20/2024,,,,,73.34,81.06,77.2
47,5/21/2024,,,,,73.46,81.2,77.33
48,5/22/2024,,,,,73.46,81.2,77.33
49,5/23/2024,,,,,73.21,80.91,77.06
50,5/24/2024,,,,,74.05,81.85,77.95
51,5/27/2024,,,,,73.18,80.88,77.03
52,5/28/2024,,,,,72.89,80.57,76.73
53,5/29/2024,,,,,72.8,80.46,76.63
54,5/30/2024,,,,,74.04,81.84,77.94
55,5/31/2024,,,,,74.27,82.09,78.18
56,6/3/2024,,,,,75.55,83.51,79.53
57,6/4/2024,,,,,75.79,83.77,79.78
58,6/5/2024,,,,,75.79,83.77,79.78
59,6/6/2024,,,,,,,
